id,x,y,number_right,number_wrong,number_right_last
1,2,2,0,0,0
1,2,3,0,0,0
1,2,4,0,0,0
1,2,5,0,0,0
1,2,6,0,0,0
1,2,7,0,0,0
1,2,8,0,0,0
1,2,9,0,0,0
1,3,2,0,0,0
1,3,3,0,0,0
1,3,4,0,0,0
1,3,5,0,0,0
1,3,6,0,0,0
1,3,7,0,0,0
1,3,8,0,0,0
1,3,9,0,0,0
1,4,2,0,0,0
1,4,3,0,0,0
1,4,4,0,0,0
1,4,5,0,0,0
1,4,6,0,0,0
1,4,7,0,0,0
1,4,8,0,0,0
1,4,9,0,0,0
1,5,2,0,0,0
1,5,3,0,0,0
1,5,4,0,0,0
1,5,5,0,0,0
1,5,6,0,0,0
1,5,7,0,0,0
1,5,8,0,0,0
1,5,9,0,0,0
1,6,2,0,0,0
1,6,3,0,0,0
1,6,4,0,0,0
1,6,5,0,0,0
1,6,6,0,0,0
1,6,7,0,0,0
1,6,8,0,0,0
1,6,9,0,0,0
1,7,2,0,0,0
1,7,3,0,0,0
1,7,4,0,0,0
1,7,5,0,0,0
1,7,6,0,0,0
1,7,7,0,0,0
1,7,8,0,0,0
1,7,9,0,0,0
1,8,2,0,0,0
1,8,3,0,0,0
1,8,4,0,0,0
1,8,5,0,0,0
1,8,6,0,0,0
1,8,7,0,0,0
1,8,8,0,0,0
1,8,9,0,0,0
1,9,2,0,0,0
1,9,3,0,0,0
1,9,4,0,0,0
1,9,5,0,0,0
1,9,6,0,0,0
1,9,7,0,0,0
1,9,8,0,0,0
1,9,9,0,0,0
316480,2,2,0,0,0
316480,2,3,4,0,4
316480,2,4,2,0,2
316480,2,5,4,0,4
316480,2,6,4,0,4
316480,2,7,4,0,4
316480,2,8,0,0,0
316480,2,9,4,0,4
316480,3,2,1,0,1
316480,3,3,1,0,1
316480,3,4,2,0,2
316480,3,5,2,0,2
316480,3,6,2,0,2
316480,3,7,0,0,0
316480,3,8,4,1,4
316480,3,9,2,0,2
316480,4,2,3,0,3
316480,4,3,3,0,3
316480,4,4,2,1,1
316480,4,5,1,0,1
316480,4,6,2,0,2
316480,4,7,3,0,3
316480,4,8,5,2,4
316480,4,9,5,1,4
316480,5,2,0,0,0
316480,5,3,3,0,3
316480,5,4,1,0,1
316480,5,5,2,0,2
316480,5,6,1,0,1
316480,5,7,2,1,2
316480,5,8,4,1,4
316480,5,9,4,0,4
316480,6,2,4,0,4
316480,6,3,4,1,4
316480,6,4,4,0,4
316480,6,5,4,0,4
316480,6,6,4,1,4
316480,6,7,2,0,2
316480,6,8,1,0,1
316480,6,9,1,1,1
316480,7,2,1,0,1
316480,7,3,3,0,3
316480,7,4,6,1,6
316480,7,5,3,0,3
316480,7,6,1,0,1
316480,7,7,5,1,4
316480,7,8,4,0,4
316480,7,9,1,2,0
316480,8,2,2,0,2
316480,8,3,2,0,2
316480,8,4,4,2,4
316480,8,5,7,1,4
316480,8,6,4,0,4
316480,8,7,4,1,4
316480,8,8,4,2,4
316480,8,9,0,0,0
316480,9,2,0,0,0
316480,9,3,4,1,4
316480,9,4,4,2,4
316480,9,5,5,2,4
316480,9,6,3,2,2
316480,9,7,4,1,4
316480,9,8,3,2,0
316480,9,9,3,0,3
5410619880,2,2,0,0,0
5410619880,2,3,0,0,0
5410619880,2,4,0,0,0
5410619880,2,5,0,0,0
5410619880,2,6,0,0,0
5410619880,2,7,0,0,0
5410619880,2,8,0,0,0
5410619880,2,9,0,0,0
5410619880,3,2,0,0,0
5410619880,3,3,0,0,0
5410619880,3,4,0,0,0
5410619880,3,5,0,0,0
5410619880,3,6,0,0,0
5410619880,3,7,0,0,0
5410619880,3,8,0,0,0
5410619880,3,9,0,0,0
5410619880,4,2,0,0,0
5410619880,4,3,0,0,0
5410619880,4,4,0,0,0
5410619880,4,5,0,0,0
5410619880,4,6,0,0,0
5410619880,4,7,0,0,0
5410619880,4,8,0,0,0
5410619880,4,9,1,0,1
5410619880,5,2,0,0,0
5410619880,5,3,0,0,0
5410619880,5,4,0,0,0
5410619880,5,5,0,0,0
5410619880,5,6,0,0,0
5410619880,5,7,0,0,0
5410619880,5,8,0,0,0
5410619880,5,9,0,0,0
5410619880,6,2,0,0,0
5410619880,6,3,0,0,0
5410619880,6,4,0,0,0
5410619880,6,5,0,0,0
5410619880,6,6,0,0,0
5410619880,6,7,0,0,0
5410619880,6,8,0,0,0
5410619880,6,9,0,0,0
5410619880,7,2,0,0,0
5410619880,7,3,0,0,0
5410619880,7,4,0,0,0
5410619880,7,5,0,0,0
5410619880,7,6,0,0,0
5410619880,7,7,0,0,0
5410619880,7,8,0,0,0
5410619880,7,9,0,0,0
5410619880,8,2,0,0,0
5410619880,8,3,0,0,0
5410619880,8,4,0,0,0
5410619880,8,5,0,0,0
5410619880,8,6,0,0,0
5410619880,8,7,0,0,0
5410619880,8,8,0,0,0
5410619880,8,9,0,0,0
5410619880,9,2,0,0,0
5410619880,9,3,0,0,0
5410619880,9,4,0,0,0
5410619880,9,5,0,0,0
5410619880,9,6,0,0,0
5410619880,9,7,0,0,0
5410619880,9,8,0,0,0
5410619880,9,9,0,0,0
